"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2004","1,499.41","1,534.42","1,543.76","1,370.43","150.90M","-2.28%"
"10/01/2004","1,534.42","1,450.82","1,565.13","1,370.43","278.13M","5.76%"
"09/01/2004","1,450.82","1,370.43","1,462.20","1,370.43","282.97M","5.87%"
"08/01/2004","1,370.43","1,454.36","1,484.75","1,368.13","422.78M","-5.77%"
"07/01/2004","1,454.36","1,358.47","1,456.22","1,327.81","486.39M","7.06%"
"06/01/2004","1,358.47","1,319.25","1,360.57","1,280.50","269.67M","2.97%"
"05/01/2004","1,319.25","1,212.34","1,335.69","1,210.49","228.82M","8.82%"
"04/01/2004","1,212.34","1,284.22","1,320.26","1,178.58","128.93M","-5.60%"
"03/01/2004","1,284.22","1,224.92","1,411.44","1,187.92","109.46M","4.84%"
"02/01/2004","1,224.92","1,211.11","1,226.91","1,016.66","104.44M","1.14%"
"01/01/2004","1,211.11","1,062.11","1,650.01","1,062.10","132.03M","14.03%"
"12/01/2003","1,062.10","1,206.33","1,207.21","1,024.86","126.49M","-11.95%"
"11/01/2003","1,206.30","1,416.37","1,416.37","1,127.98","270.25M","-14.83%"
"10/01/2003","1,416.40","1,292.41","1,438.31","1,291.58","496.32M","9.59%"
"09/01/2003","1,292.40","1,082.57","1,303.93","1,082.45","483.69M","19.38%"
"08/01/2003","1,082.60","1,045.80","1,093.65","1,034.04","137.27M","3.52%"
"07/01/2003","1,045.80","1,048.91","1,101.85","938.23","124.10M","-0.30%"
"06/01/2003","1,048.90","858.66","1,121.84","853.49","274.39M","22.15%"
"05/01/2003","858.70","824.35","860.20","818.44","87.88M","4.16%"
"04/01/2003","824.40","738.95","829.43","731.23","87.65M","11.56%"
"03/01/2003","739.00","748.54","748.65","696.74","39.57M","-1.27%"
"02/01/2003","748.50","793.53","806.64","738.49","47.74M","-5.67%"
"01/01/2003","793.50","814.93","846.39","780.32","80.14M","-2.65%"
"12/01/2002","815.10","801.62","815.11","779.78","42.96M","1.58%"
"11/01/2002","802.40","820.60","832.88","785.60","51.83M","-2.18%"
"10/01/2002","820.30","856.78","857.10","738.48","143.08M","-4.23%"
"09/01/2002","856.50","751.25","864.10","741.58","235.54M","13.88%"
"08/01/2002","752.10","699.45","752.12","633.07","75.83M","7.44%"
"07/01/2002","700.00","711.38","729.70","697.50","82.21M","-1.60%"
"06/01/2002","711.40","685.07","747.35","685.07","196.47M","3.90%"
"05/01/2002","684.70","617.20","693.53","613.39","88.47M","10.94%"
"04/01/2002","617.20","617.76","617.97","605.75","41.38M","-0.06%"
"03/01/2002","617.60","603.53","650.92","601.59","114.29M","2.29%"
"02/01/2002","603.80","562.42","610.47","562.22","75.99M","7.40%"
"01/01/2002","562.20","621.36","623.26","548.66","72.01M","-9.47%"
"12/01/2001","621.00","538.71","694.37","525.44","189.82M","15.53%"
"11/01/2001","537.50","504.99","540.18","484.21","127.50M","6.31%"
"10/01/2001","505.60","403.87","509.31","400.63","101.47M","25.27%"
"09/01/2001","403.60","406.11","411.86","397.01","34.43M","-0.91%"
"08/01/2001","407.30","418.80","419.22","382.41","117.17M","-2.75%"
"07/01/2001","418.80","427.92","430.73","417.50","20.68M","-2.15%"
"06/01/2001","428.00","422.19","432.15","414.55","44.26M","1.71%"
"05/01/2001","420.80","416.42","423.64","415.77","22.12M","1.06%"
"04/01/2001","416.40","423.72","425.20","415.75","25.12M","-1.70%"
"03/01/2001","423.60","442.27","442.67","420.84","21.17M","-4.25%"
"02/01/2001","442.40","439.59","444.45","439.19","15.40M","0.66%"
"01/01/2001","439.50","447.64","453.79","438.21","27.83M","-1.81%"
"12/01/2000","447.60","434.35","456.24","434.18","21.47M","3.04%"
"11/01/2000","434.40","493.98","496.55","433.84","25.93M","-12.06%"
"10/01/2000","494.00","523.45","527.20","494.05","27.47M","-5.60%"
"09/01/2000","523.30","497.08","523.29","494.97","35.90M","5.36%"
"08/01/2000","496.70","510.73","512.26","494.76","35.37M","-2.74%"
"07/01/2000","510.70","513.55","522.01","505.34","89.10M","-0.56%"
"06/01/2000","513.60","478.66","528.70","470.90","42.39M","7.34%"
"05/01/2000","478.50","475.98","478.51","427.62","39.56M","0.42%"
"04/01/2000","476.50","494.78","497.02","476.52","23.72M","-3.64%"
"03/01/2000","494.50","541.34","541.35","493.47","40.59M","-8.68%"
"02/01/2000","541.50","555.54","564.79","541.54","46.02M","-2.52%"
"01/01/2000","555.50","572.61","574.26","543.50","21.06M","-2.97%"
